name,total_price_in_state,total_price_out_of_state,percent_admitted,yield,total_applicants,act_low,act_high,act_range,city,state,zip,address,longitude,latitude,affiliation,six_year_grad_rate,total_enrollment,website,phone_number,financial_aid_address,admissions_address,application_address,net_price_calculator,average_price_after_financial_aid,average_price_if_less_than_30000,average_price_if_less_than_48000,average_price_if_less_than_75000,average_price_if_less_than_110000,average_price_if_greater_than_110000,ncaa_membership,football_team?,basketball_team?,baseball_team?,cross_country_team?
Midland University,40800,40800,60,29,1866,17,26,17 - 26,Fremont,NE,68025,900 N. Clarkson,-96.488354,41.43675,private_non_profit,47,1362,www.midlandu.edu,8006428382,www.midlandu.edu/financial-aid,www.midlandu.edu/apply-now,www.midlandu.edu/apply-now,www.midlandu.edu/net-price-calculator,22363,19613,19360,21801,24514,24292,No,Yes,Yes,Yes,Yes
Midway University,37850,37850,58,35,383, , , - ,Midway,KY,40347-1120,512 E. Stephens St,-84.679335,38.144432,private_non_profit,51,1140,www.midway.edu,8598464421,www.midway.edu/financial-options,www.midway.edu,https://apply.midway.edu/Datatel.ERecruiting.Web.External/Pages/createaccount.aspx,www.midway.edu/financial-options/calculators,18346,16569,16578,18911,19363,23101,No,No,Yes,No,No
Midwest College of Oriental Medicine-Racine,,,,,, , , - ,Racine,WI,53403-9747,6232 Bankers Road,-87.856679,42.678051,private_for_profit,,93,www.Acupuncture.edu,2625542010,www.Acupuncture.edu,www.Acupuncture.edu,www.Acupuncture.edu,,,,,,,,No,No,No,No,No
Midwestern Baptist Theological Seminary,15773,15773,76,86,55,18,22,18 - 22,Kansas City,MO,64118-4697,5001 N. Oak Trafficway,-94.573185,39.185691,private_non_profit,44,1369,https://www.mbts.edu,8164143700,https://www.mbts.edu/admissions/financial-aid/,https://www.mbts.edu/admissions,https://www.mbts.edu/apply/,https://www.mbts.edu/admissions/financial-aid/,14280,12568,16127,16138,,,No,No,No,No,No
Midwestern State University,19200,21150,62,42,3259,19,23,19 - 23,Wichita Falls,TX,76308-2099,3410 Taft Blvd,-98.51774,33.877143,public,40,5874,www.mwsu.edu,9403974000,www.mwsu.edu/finaid/index,www.mwsu.edu/admissions/index,www.mwsu.edu/admissions/apply,www.mwsu.edu/finaid/net-price,,,,,,,Yes,Yes,Yes,No,Yes
Miles College,22614,22614,,,, , , - ,Fairfield,AL,35064-2621,5500 Myron Massey Blvd,-86.908605,33.481306,private_non_profit,15,1782,www.miles.edu,2.05929E+13,https://www.miles.edu/administrative-units/10/Office-of-Financial-Aid-,https://www.miles.edu/admissions,https://www.miles.edu/,https://miles.studentaidcalculator.com/survey.aspx,16629,16128,17870,18714,18144,19101,Yes,Yes,Yes,Yes,Yes
Millennia Atlantic University,,,,,, , , - ,Doral,FL,33178-2369,3801 NW 97TH Avenue  Suite 100,-80.352671,25.8082,private_for_profit,,239,www.maufl.edu,7863311000,www.maufl.edu/financial/,www.maufl.edu/admissions/,www.maufl.edu/admissions/apply/,www.maufl.edu/financial/fincalc/,,,,,,,No,No,No,No,No
Millersville University of Pennsylvania,26189,35607,69,32,6184,19,23,19 - 23,Millersville,PA,17551-0302,1 South George Street  Lyle Hall,-76.355091,39.99813,public,65,8047,www.millersville.edu,7178714636,www.millersville.edu/finaid/,www.millersville.edu/admissions/,https://secure.applynow.passhe.edu/applications/PASSHE/apply.html?application_id=1258,www.collegeportraits.org/PA/Millersville/estimator/agree,,,,,,,Yes,Yes,Yes,Yes,Yes
Milligan College,39248,39248,,,, , , - ,Johnson City,TN,37682,1 Blowers Blvd.,-82.294641,36.299318,private_non_profit,,,www.milligan.edu,4234618700,www.milligan.edu/sfs/index.html,www.milligan.edu/admission/index.html,,https://npc.collegeboard.org/student/app/milligan,,,,,,,No,No,Yes,Yes,Yes
Millikin University,44628,44628,63,23,3255,19,26,19 - 26,Decatur,IL,62522-2084,1184 W Main St,-88.974571,39.842604,private_non_profit,55,2190,https://www.millikin.edu,2174246211,https://www.millikin.edu/admission-aid,https://www.millikin.edu/admission-aid,https://www.millikin.edu/apply,https://www.millikin.edu/cost-aid/net-price-calculator,19208,13467,15741,18713,20308,23878,Yes,Yes,Yes,Yes,Yes
Mills College,60992,60992,76,13,1869,23,29,23 - 29,Oakland,CA,94613,5000 MacArthur Blvd,-122.18789,37.782639,private_non_profit,63,1542,www.mills.edu,5104302255,www.mills.edu/student_services/financial_aid/index.php,www.mills.edu/admission/index.php,www.applyweb.com/apply/millsug/menu.html,npc.collegeboard.org/student/app/mills,27403,21532,21360,22892,28471,34432,Yes,No,No,No,Yes
Millsaps College,50718,50718,57,14,2861,23,29,23 - 29,Jackson,MS,39210-0001,1701 N State St,-90.178084,32.3231,private_non_profit,72,842,www.millsaps.edu,6019741000,www.millsaps.edu/administrative_offices/financial_aid.php,www.millsaps.edu/admissions.php,www.millsaps.edu/admissions/apply.php,www.millsaps.edu/administrative_offices/financial_aid_net_price_calculator.php,21661,16044,14226,18526,20938,25762,Yes,Yes,Yes,Yes,Yes
Milwaukee Institute of Art & Design,44900,44900,59,45,545, , , - ,Milwaukee,WI,53202-6003,273 E Erie St,-87.907925,43.030917,private_non_profit,55,622,www.miad.edu,4148473200,www.miad.edu/financial-aid/financial-aid-staff,www.miad.edu/general-admissions/admissions-staff,www.miad.edu/applynow,www.miad.edu/financial-aid/net-price-calculator,23707,21295,18756,23637,24430,26591,No,No,No,No,No
Milwaukee School of Engineering,48650,48650,69,33,2574,25,30,25 - 30,Milwaukee,WI,53202-3109,1025 N Broadway,-87.907691,43.045364,private_non_profit,56,2810,www.msoe.edu,8003326763,www.msoe.edu/finaid,www.msoe.edu/admissions,www.msoe.edu/apply,www.msoe.edu/npc,22019,15225,16990,16670,21421,27236,Yes,No,Yes,Yes,Yes
Minerva Schools at Keck Graduate Institute,29950,29950,,,, , , - ,Claremont,CA,91711,535 Watson Drive,-117.722604,34.091695,private_non_profit,,28,minerva.kgi.edu,9096077855,minerva.kgi.edu/financing/,minerva.kgi.edu/admissions,https://mienrva.kgi.edu/application/start/,https://minerva.kgi.edu/admissions/financing,,,,,,,No,No,No,No,No
Minneapolis College of Art and Design,46840,46840,64,39,472,21,26,21 - 26,Minneapolis,MN,55404,2501 Stevens Ave,-93.274694,44.956988,private_non_profit,61,783,MCAD.EDU,6128743700,mcad.edu/financial-aid,mcad.edu/admissions,mcad.edu/apply,mcad.edu/tuition-calculator,25826,20279,20310,25867,27151,29443,No,No,No,No,No
Minnesota School of Business-Richfield,,,,,, , , - ,Richfield,MN,55423,1401 W 76 St,-93.297366,44.865436,private_for_profit,27,763,www.msbcollege.edu/,6128612000,,,,www.msbcollege.edu/MSBNetPriceCalculator/npcalc.htm,19167,18000,20321,19432,22085,25992,No,No,No,No,No
Minnesota State University Moorhead,19946,27082,84,35,2992,20,25,20 - 25,Moorhead,MN,56563,1104 Seventh Avenue South,-96.763376,46.866482,public,46,6306,www.mnstate.edu,8005937246,www.mnstate.edu/financialaid/,www.mnstate.edu/admissions/,www.mnstate.edu/apply/,www.mnstate.edu/admissions/netpricecalculator.aspx,,,,,,,Yes,Yes,Yes,No,Yes
Minnesota State University-Mankato,19106,26850,67,34,9984,19,24,19 - 24,Mankato,MN,56001,South Rd and Ellis Ave,-93.998494,44.147253,public,52,15387,www.mnsu.edu,5073891866,www.mnsu.edu/campushub/programs/,www.mnsu.edu/admissions/,www.mnsu.edu/admissions/applynow.html,www.mnscu.edu/admissions/calculator/msumankato.html,,,,,,,Yes,Yes,Yes,Yes,Yes
Minot State University,16864,16864,58,76,775,20,25,20 - 25,Minot,ND,58707,500 University Ave W,-101.300624,48.246877,public,33,3410,www.minotstateu.edu,7018583000,www.minotstateu.edu/finaid/,www.minotstateu.edu/enroll/,www.minotstateu.edu/enroll/apply.shtml,www.minotstateu.edu/finaid/net_calc.shtml,,,,,,,Yes,Yes,Yes,Yes,Yes
Mirrer Yeshiva Cent Institute,16534,16534,96,79,45, , , - ,Brooklyn,NY,11223-2010,1791-5 Ocean Parkway,-73.966049,40.605043,private_non_profit,15,197,,7186450536,,,,www.mirreryeshiva.co,7465,5346,4981,6196,,,No,No,No,No,No
Misericordia University,44500,44500,71,31,2050,21,26,21 - 26,Dallas,PA,18612-1098,301 Lake St,-75.971016,41.344765,private_non_profit,68,3054,www.misericordia.edu,5706746400,www.misericordia.edu/financialaid,admissions.misericordia.edu/,www.misericordia.edu/apply/,www.misericordia.edu/financialaid,25348,19479,20444,24535,26420,27905,Yes,Yes,Yes,Yes,Yes
Mississippi College,29841,29841,63,44,2124,21,28,21 - 28,Clinton,MS,39058,200 South Capitol Street,-90.330452,32.334565,private_non_profit,62,4984,www.mc.edu,6019253000,www.mc.edu/offices/financial-aid/,www.mc.edu/admissions/index.php,www.mc.edu/application/,www.mc.edu/npc,16418,14020,15016,17104,17492,18505,Yes,Yes,Yes,Yes,Yes
Mississippi State University,22924,35564,71,39,10766,21,28,21 - 28,Mississippi State,MS,39762,Lee Boulevard,-88.788979,33.454809,public,58,20138,www.msstate.edu,6623252323,www.sfa.msstate.edu,www.admissions.msstate.edu,www.msstate.edu/web/applyonline.php,www.collegeportraits.org/MS/MSU/estimator/agree,,,,,,,Yes,Yes,Yes,Yes,Yes
Mississippi University for Women,17872,27938,94,36,720,18,23,18 - 23,Columbus,MS,39701,1100 College Street,-88.418601,33.493305,public,39,2696,www.muw.edu,6623294750,www.muw.edu/finaid,www.muw.edu/admissions,www.muw.edu/admissions/apply,www.muw.edu/finaid/freshmancalculator,,,,,,,No,No,No,No,No
Mississippi Valley State University,18913,18913,16,38,7655,15,19,15 - 19,Itta Bena,MS,38941-1400,14000 Highway 82 West,-90.341274,33.514142,public,22,2222,www.mvsu.edu,6622549041,www.mvsu.edu/prospective_students/financial_aid_programs/,www.mvsu.edu/prospective_students/,www.mvsu.edu/prospective_students/admissions/intent_to_enroll.php,sutton2.mvsu.edu/npcalc.htm,,,,,,,Yes,Yes,Yes,Yes,Yes
Missouri Baptist University,36101,36101,60,42,865,19,23,19 - 23,Saint Louis,MO,63141-8698,One College Park Dr,-90.462606,38.642017,private_non_profit,38,5322,www.mobap.edu,8774341115,www.mobap.edu/financial-aid,www.mobap.edu/admissions/,https://apply.mobap.edu/#/register?app=graduate-admissions,www.mobap.edu/freshmannetcostcalculator/,17673,15670,16494,16566,19108,19408,No,Yes,Yes,Yes,Yes
Missouri Southern State University,16252,21209,96,45,2002,18,24,18 - 24,Joplin,MO,64801-1595,3950 E. Newman Road,-94.460893,37.095722,public,33,5613,www.mssu.edu,4176259300,www.mssu.edu/financial-aid/index.php,www.mssu.edu/offices/admissions/index.php,https://www.mssu.edu/offices/admissions/admissions-application.php,www.collegeportraits.org/MO/MSSU/estimator/agree,,,,,,,Yes,Yes,Yes,Yes,Yes
Missouri State University-Springfield,20296,27166,85,41,8044,21,26,21 - 26,Springfield,MO,65897,901 S National,-93.276821,37.197983,public,55,21816,www.missouristate.edu,4178365000,www.missouristate.edu/FinancialAid/,www.missouristate.edu/admissions/,https://www.missouristate.edu/futurestudents/applynow.aspx,https://missouristate.studentaidcalculator.com/welcome.aspx,,,,,,,Yes,Yes,Yes,Yes,Yes
Missouri University of Science and Technology,21698,37120,86,42,3577,26,31,26 - 31,Rolla,MO,65409,1870 Miner Circle,-91.7759,37.955853,public,65,8640,www.mst.edu/,5733414111,sfa.mst.edu/,futurestudents.mst.edu/,futurestudents.mst.edu/apply/,futurestudents.mst.edu/costs/,,,,,,,Yes,Yes,Yes,Yes,Yes
Missouri Valley College,30400,30400,44,42,2049, , , - ,Marshall,MO,65340,500 E College St,-93.190236,39.108655,private_non_profit,25,1695,www.moval.edu,6608314000,www.moval.edu/financial_aid/index.php,www.moval.edu/admissions/index.php,www.moval.edu/admissions/applying/application.php,https://www.moval.studentaidcalculator.com/survey.aspx,16066,14797,13814,16971,18252,18556,No,Yes,Yes,Yes,Yes
Missouri Western State University,19120,24890,,,, , , - ,Saint Joseph,MO,64507,4525 Downs Dr,-94.785643,39.7575,public,30,5834,https://www.missouriwestern.edu,8162714200,https://www.missouriwestern.edu/finaid,https://www.missouriwestern.edu/admissions,https://www.missouriwestern.edu/admissions/apply-for-admission/,https://forms.missouriwestern.edu/finaid/npcalc.htm,,,,,,,Yes,Yes,Yes,Yes,No
Mitchell College,47900,47900,70,23,1028, , , - ,New London,CT,6320,437 Pequot Avenue,-72.095337,41.328075,private_non_profit,43,778,www.mitchell.edu,8607015000,community.mitchell.edu/FinancialAid,community.mitchell.edu/Admissions,community.mitchell.edu/Apply,community.mitchell.edu/CostCalculator,28125,22323,24252,23066,28418,33810,Yes,No,Yes,Yes,Yes
Molloy College,47122,47122,75,20,3277,22,26,22 - 26,Rockville Centre,NY,11571-5002,1000 Hempstead Ave,-73.626278,40.68597,private_non_profit,62,4497,www.molloy.edu,5163233000,www.molloy.edu/admissions/financial-aid,www.molloy.edu/admissions,lionsden.molloy.edu/ICS/Admissions/Apply_Online.jnz,www.molloy.edu/admissions-and-aid/financial-aid/net-price-calculator,23383,19399,21515,25287,26063,26350,Yes,No,Yes,Yes,Yes
Monmouth College,45210,45210,69,20,2851,19,25,19 - 25,Monmouth,IL,61462-1998,700 E Broadway,-90.637909,40.91459,private_non_profit,58,1300,www.monmouthcollege.edu,3094572311,https://ou.monmouthcollege.edu/admissions/financial-aid/default.aspx,ou.monmouthcollege.edu/admissions/,https://ou.monmouthcollege.edu/admissions/apply/default.aspx,https://ou.monmouthcollege.edu/admissions/financial-aid/calculator.aspx,17609,12781,12698,16239,20850,23495,Yes,Yes,Yes,Yes,Yes
Monmouth University,50250,50250,74,19,7691,22,25,22 - 25,West Long Branch,NJ,07764-1898,400 Cedar Ave,-74.006447,40.280066,private_non_profit,64,6395,www.monmouth.edu,7325713400,www.monmouth.edu/university/cost-and-financial-aid.aspx,www.monmouth.edu/university/admission.aspx,https://www.applyweb.com/apply/monmouth/,https://monmouth.studentaidcalculator.com/survey.aspx,27149,16184,15817,23806,31311,32546,Yes,Yes,Yes,Yes,Yes
Montana State University,20099,35331,84,25,13799,21,28,21 - 28,Bozeman,MT,59717,Montana State University,-111.049918,45.666829,public,49,14982,www.montana.edu/,4069940211,www.montana.edu/wwwfa/,www.montana.edu/admissions/,www.montana.edu/wwwcat/appopts.html,www.montana.edu/tuitioncalc/,,,,,,,Yes,Yes,Yes,No,Yes
Montana State University-Billings,18658,30692,,,, , , - ,Billings,MT,59101-0298,1500 University Drive,-108.523009,45.796896,public,33,4768,www.msubillings.edu,4066572011,www.msubillings.edu/finaid/,www.msubillings.edu/reg/admission.htm,https://www.applyweb.com/msubill/index.html,www.msubillings.edu/geninfo/aboutmsub.htm,,,,,,,Yes,No,Yes,Yes,Yes
Montana State University-Northern,16029,28108,100,48,433,16,22,16 - 22,Havre,MT,59501,300 W 11th St,-109.686457,48.541054,public,23,1230,www.msun.edu,4062653700,www.msun.edu/stuaffairs/finaid/index.htm,www.msun.edu/stuaffairs/admissions/index.htm,https://www.applyweb.com/apply/msunorth/,www.msun.edu/stuaffairs/finaid/tuitcalc.htm,,,,,,,No,Yes,Yes,No,No
Montana Tech of the University of Montana,19599,32631,91,48,670,22,27,22 - 27,Butte,MT,59701-8997,1300 W Park St,-112.557,46.012164,public,48,2085,www.mtech.edu,4064964256,www.mtech.edu/onestop/financial-aid/,www.mtech.edu/admissions/,www.mtech.edu/admissions/first-year/application.htm,www.mtech.edu/onestop/,,,,,,,No,Yes,Yes,No,No
Montclair State University,28978,37525,67,35,12462, , , - ,Montclair,NJ,07043-1624,1 Normal Avenue,-74.199455,40.859233,public,63,20022,www.montclair.edu,9736554000,www.montclair.edu/financial-aid/,www.montclair.edu/university-admissions/,www.montclair.edu/admissions/apply,https://montclair.studentaidcalculator.com/survey.aspx,,,,,,,Yes,Yes,Yes,Yes,Yes
Montreat College,36002,36002,46,30,799,18,24,18 - 24,Montreat,NC,28757-1267,310 Gaither Circle,-82.297522,35.645844,private_non_profit,42,933,www.montreat.edu,8286698012,www.montreat.edu/admissions/tuition-aid/,www.montreat.edu/admissions/,www.montreat.edu/admissions/undergraduate/how-to-apply/,www.montreat.edu/admissions/tuition-aid/,18394,16603,17552,18986,20907,23908,No,No,Yes,Yes,Yes
Montserrat College of Art,42550,42550,,,, , , - ,Beverly,MA,01915-4508,23 Essex Street,-70.876419,42.550416,private_non_profit,54,402,www.montserrat.edu/,9789214242,www.montserrat.edu/admissions/student-financial-services/financial-aid.php,www.montserrat.edu/admissions/,https://cafe.montserrat.edu/cafeweb/tapestry?service&page=BFA_Application,www.montserrat.edu/NetPrice/npcalc.htm,25141,20077,22702,26745,27496,30085,No,No,No,No,No
Moody Bible Institute,25774,25774,72,71,1099, , , - ,Chicago,IL,60610-3284,820 N LaSalle Blvd,-87.633459,41.897822,private_non_profit,62,3967,www.moody.edu,3123294000,www.moody.edu/chicago/financial-aid/,https://www.moody.edu/chicago/admissions/,www.moody.edu/chicago/apply/,www.moody.edu/uploadedFiles/EDU/Website_Assets/Files/Financial_Aid/npcalc.html,19417,20431,20773,21755,22010,,No,No,No,No,No
Moore College of Art and Design,55064,55064,59,24,609, , , - ,Philadelphia,PA,19103-1179,20th and the Parkway,-75.172105,39.957078,private_non_profit,55,453,www.moore.edu,2155684515,moore.edu/admissions/bfa-admissions/tuition-and-financial-aid/financial-aid,moore.edu/admissions,https://app.applyyourself.com/AYApplicantLogin/fl_ApplicantConnectLogin.asp?id=moore,www.moore.edu/bfa_admissions/tuition_and_financial_aid,33190,33076,32994,31272,34343,35376,No,No,No,No,No
Moravian College,53616,53616,86,29,1536,18,26,18 - 26,Bethlehem,PA,18018-6650,1200 Main St,-75.380979,40.630888,private_non_profit,74,1970,www.moravian.edu,6108611360,www.moravian.edu/default.aspx?pageid=2520,www.moravian.edu/default.aspx?pageid=2717,,www.moravian.edu/default.aspx?pageid=4839,26258,19650,21420,22760,25553,29479,Yes,Yes,Yes,Yes,Yes
Morehead State University,20186,32334,84,34,5236,19,25,19 - 25,Morehead,KY,40351,University Blvd,-83.429742,38.188462,public,43,11052,www.moreheadstate.edu,6067832000,www.moreheadstate.edu/finaid/,www.moreheadstate.edu/furturestudents/,www.moreheadstate.edu/apply/,www.moreheadstate.edu/netprice/,,,,,,,Yes,Yes,Yes,Yes,Yes
Morehouse College,47952,47952,84,38,1678,19,24,19 - 24,Atlanta,GA,30314,830 Westview Dr SW,-84.415156,33.74793,private_non_profit,55,2109,www.morehouse.edu,4046812800,www.morehouse.edu/financial_aid/,www.morehouse.edu/admissions/,www.morehouse.edu/admissions/,www.morehouse.edu/admissions/home/tuition.shtml,31707,32209,33233,35159,37985,35270,Yes,Yes,Yes,Yes,Yes
Morgan State University,23949,33623,65,34,4808,16,19,16 - 19,Baltimore,MD,21251-0001,1700 East Cold Spring Lane,-76.584238,39.344235,public,29,7698,www.morgan.edu,4438853333,www.morgan.edu/Financial_Aid.html,www.morgan.edu/Admissions.html,https://ssb4.morgan.edu/prod/twbkwbis.P_GenMenu?name=homepage,www.morgan.edu/academic_affairs/office_of_financial_aid/net_price_calculator.html,,,,,,,Yes,Yes,Yes,No,Yes
Morningside College,41335,41335,57,15,4150,21,25,21 - 25,Sioux City,IA,51106-1751,1501 Morningside Ave,-96.360738,42.47324,private_non_profit,59,2823,www.morningside.edu,7122745000,www.morningside.edu/admissions,www.morningside.edu/admissions,www.morningside.edu/admissions,www.morningside.edu/admissions,20483,20798,17273,19861,22523,23357,No,Yes,Yes,Yes,Yes
Morris College,23240,23240,,,, , , - ,Sumter,SC,29150-3599,100 West College Street,-80.346346,33.938707,private_non_profit,31,780,www.morris.edu,8039343200,www.morris.edu/financial-aid,www.morris.edu/admissions,216.218.65.175/ics/Admissions,https://npc.collegeboard.org/student/app/morris,13539,12933,14381,16657,19273,20434,No,No,Yes,Yes,Yes
Morthland College,24170,24170,67,80,15, , , - ,West Frankfort,IL,62896-2742,202 East Oak Street,-88.92657,37.897051,private_non_profit,,63,morthland.edu,6189372127,https://morthland.vfao.com,morthland.edu/traditional-admissions-requirements/,morthland.edu/traditional-admissions-full-time-application/,morthland.edu/traditional-financial-aid-tuition-and-fees/,18407,16660,,17323,,18944,No,No,No,No,No
Mount Angel Seminary,34698,34698,,,, , , - ,Saint Benedict,OR,97373-0505,1 Abbey Drive,-122.775405,45.057871,private_non_profit,100,152,www.mountangelabbey.org/seminary,5.03845E+13,www.mountangelabbey.org/admission,www.mountangelabbey.org/admission,www.mountangelabbey.org/admission,www.mountangelabbey.org/seminary,27139,27139,,,,,No,No,No,No,No
Mount Carmel College of Nursing,23300,23300,74,62,180,20,24,20 - 24,Columbus,OH,43222-1504,127 So.  Davis Ave,-83.021152,39.957008,private_non_profit,72,1084,www.mccn.edu,6142345800,www.mccn.edu/tuition-and-financial-aid/financial-aid/welcome,www.mccn.edu/admissions,www.mccn.edu/admissions/apply-for-admission,https://carmelink.mccn.edu/ICS/Admissions/Financial_Services.jnz,15013,10646,10754,16345,17954,19401,No,No,No,No,No
Mount Holyoke College,58646,58646,55,31,3201, , , - ,South Hadley,MA,01075-1489,50 College Street,-72.573625,42.257588,private_non_profit,81,2255,www.mtholyoke.edu,4135382000,www.mtholyoke.edu/sfs/,www.mtholyoke.edu/admission/,www.mtholyoke.edu/admission/apply.html,https://npc.collegeboard.org/student/app/mtholyoke,27398,17105,15692,17932,25012,35176,Yes,No,Yes,No,Yes
Mount Ida College,48372,48372,68,26,2025,16,21,16 - 21,Newton,MA,2459,777 Dedham Street,-71.194658,42.293205,private_non_profit,42,1320,www.mountida.edu,6179284500,www.mountida.edu/admissions-aid/tuition-aid/,www.mountida.edu/admissions-aid/,www.mountida.edu/admissions-aid/apply/,www.mountida.edu/admissions-aid/,27920,22725,25555,27069,27944,31382,Yes,Yes,Yes,No,Yes
Mount Marty College,36996,36996,72,41,416,19,23,19 - 23,Yankton,SD,57078-3724,1105 W. 8th Street,-97.409904,42.874475,private_non_profit,51,1236,www.mtmc.edu,8556862789,www.mtmc.edu/financial,www.mtmc.edu/admissions,www.mtmc.edu/admissions/apply.aspx,www.mtmc.edu/financial/netpricecalculator.aspx,19725,28679,28658,32261,34029,33779,No,No,Yes,Yes,Yes
Mount Mary University,41520,41520,35,69,638,17,22,17 - 22,Milwaukee,WI,53222-4597,2900 N. Menomonee River Pky,-88.030594,43.072303,private_non_profit,35,1385,www.mtmary.edu/,4149303000,www.mtmary.edu/costs-aid/index.html,www.mtmary.edu/admissions/index.html,www.mtmary.edu/admissions/apply/index.html,www.mtmary.edu/costs-aid/financial-aid/net-price-calculator_first.html,13665,11696,10509,13583,16098,22437,Yes,No,Yes,No,Yes
Mount Mercy University,41516,41516,57,34,695,19,25,19 - 25,Cedar Rapids,IA,52402-4797,1330 Elmhurst Dr NE,-91.650991,42.001931,private_non_profit,54,1762,www.mtmercy.edu,3193638213,www.mtmercy.edu/financial-aid-2,www.mtmercy.edu/admissions,https://www.mtmercy.edu/apply-freshman,https://www.mtmercy.edu/net-price-calculator,20163,13707,14313,17553,20576,21920,No,No,Yes,Yes,Yes
Mount Saint Joseph University,38310,38310,88,34,1010,19,24,19 - 24,Cincinnati,OH,45233-1670,5701 Delhi Rd,-84.640143,39.094519,private_non_profit,58,2219,www.msj.edu,5132444200,www.msj.edu/tuition-aid/financial-aid-grants-loans-scholarships/,www.msj.edu/admission/overview5/,www.msj.edu/admission/apply-online/,https://msj.aidcalculator.com/,17469,12889,13733,16957,18820,19435,Yes,Yes,Yes,Yes,Yes
Mount Saint Mary College,44811,44811,89,12,3742,20,24,20 - 24,Newburgh,NY,12550,330 Powell Avenue,-74.012906,41.511212,private_non_profit,56,2479,www.msmc.edu,8455610800,www.msmc.edu/Student_Services/student_financial_services/Financial_Aid,www.msmc.edu/admissions,www.msmc.edu/Admissions/apply_now.be,www.msmc.edu/Student_Services/student_financial_services/Financial_Aid/netprice.be,24208,15844,19303,24964,27607,27797,Yes,No,Yes,Yes,Yes
Mount Saint Mary's University,54143,54143,78,28,2161,15,21,15 - 21,Los Angeles,CA,90049-1599,12001 Chalon Rd,-118.480471,34.082112,private_non_profit,61,3292,www.msmu.edu,3109544000,www.msmu.edu/academics/financial-aid/,www.msmu.edu/admission/,www.msmu.edu/admission/undergraduate-admission/application-instructions.aspx,www.msmu.edu/academics/financial-aid/cost-calculator.aspx,27334,23141,23500,26225,31072,34330,No,No,No,No,No
Mount St Mary's University,52600,52600,67,12,6142,20,24,20 - 24,Emmitsburg,MD,21727-7799,16300 Old Emmitsburg Road,-77.35222,39.680632,private_non_profit,67,2305,www.msmary.edu,3014476122,www.msmary.edu/admissions/scholarships-aid/index.html,www.msmary.edu/admissions/index.html,www.msmary.edu/admissions/apply/index.html,https://npc.collegeboard.org/student/app/msmary,29071,21930,27787,26145,31294,30486,Yes,No,Yes,Yes,Yes
Mount Vernon Nazarene University,37674,37674,76,40,1020,20,25,20 - 25,Mount Vernon,OH,43050-9500,800 Martinsburg Rd,-82.474667,40.373859,private_non_profit,54,2137,www.mvnu.edu,7403926868,www.gotomvnu.com/preparing/,www.gotomvnu.com/,www.gotomvnu.com/application.asp,www.gotomvnu.com/preparing/,19417,16473,17472,19241,19693,23357,No,No,Yes,Yes,Yes
Mt Sierra College,,,,,, , , - ,Monrovia,CA,91016,800 Royal Oaks Drive  Suite 101,-117.987931,34.14241,private_for_profit,27,467,www.mtsierra.edu,6268732144,mtsierra.edu/admissions/financial-aid,www.mtsierra.edu/admissions/,www.mtsierra.edu/admissions/apply-now,mtsierra.edu/npcal/,17698,17532,19147,21093,23276,22776,No,No,No,No,No
Muhlenberg College,59725,59725,53,24,4714, , , - ,Allentown,PA,18104,2400 Chew Street,-75.508954,40.597362,private_non_profit,87,2440,www.muhlenberg.edu,4846643100,www.muhlenberg.edu/main/aboutus/finaid/,www.muhlenberg.edu/main/admissions/,www.muhlenberg.edu/main/admissions/regulardecisionchecklist/,www.muhlenberg.edu/main/aboutus/finaid/net-calc.html,35610,18765,18285,22140,24652,37500,Yes,Yes,Yes,Yes,Yes
Multnomah University,36964,36964,57,49,180,18,23,18 - 23,Portland,OR,97220,8435 NE Glisan St,-122.682518,45.518218,private_non_profit,45,753,www.multnomah.edu,5032550332,www.multnomah.edu/admissions/tuition-financial-aid/,www.multnomah.edu/admissions/,www.multnomah.edu/apply/,www.multnomah.edu/admissions/tuition-financial-aid/undergraduate,20726,16460,19908,21465,24556,29313,No,No,Yes,No,Yes
Murray State University,20035,33139,80,40,4760,20,26,20 - 26,Murray,KY,42071-3318,218 Wells Hall,-88.323493,36.61241,public,54,11207,www.murraystate.edu,2708093011,www.murraystate.edu/admissions/financialaid/index.aspx,www.murraystate.edu/Admissions,www.murraystate.edu/Admissions/ApplyOnline.aspx,https://murraystate.studentaidcalculator.com/survey.aspx,,,,,,,Yes,Yes,Yes,Yes,Yes
Muskingum University,38690,38690,76,25,2012,19,24,19 - 24,New Concord,OH,43762,163 Stormont Street,-81.737192,39.996635,private_non_profit,50,2074,www.muskingum.edu/,7408268211,www.muskingum.edu/financialaid/index.html,www.muskingum.edu/admission/index.html,www.muskingum.edu/admission/applyonline.html,www.muskingum.edu/financialaid/commitnpc.html,19014,14963,15669,17936,20775,23658,Yes,Yes,Yes,Yes,Yes
Naropa University,46971,46971,70,36,157, , , - ,Boulder,CO,80302-6697,2130 Arapahoe Ave,-105.267073,40.014816,private_non_profit,27,996,www.naropa.edu,3034440202,naropa.edu/costs-aid/aid/index.php,naropa.edu/admissions/index.php,my.naropa.edu/ICS/Admissions/Home.jnz?portlet=Apply_Online,www.naropa.edu/costs-aid/costs/undergraduate-costs/cost-calculator.php,27932,22835,24648,27217,30855,36388,No,No,No,No,No
